recipeName,batchYield,unit,ingredientName,qty,ingredientUnit,gramsMl,uom,vendor
BANG BANG CAULIFLOWER Batter 1 potion,1.0,PCS,NATURES BEST CORN FLOUR 1KG,40.0,GM,40.0,GRM,SAI FOODS
BANG BANG CAULIFLOWER Batter 1 potion,1.0,PCS,Organic Maida-1Kg,40.0,GM,40.0,GRM,FACTORY
BANG BANG CAULIFLOWER Batter 1 potion,1.0,PCS,WATER,80.0,GM,80.0,GRM,FACTORY
BANG BANG CAULIFLOWER Batter 1 potion,1.0,PCS,Spice chilli (kashmiri) Powder 100g,1.0,Pinch,0.5,GRM,SAI FOODS
BANG BANG CAULIFLOWER Batter 1 potion,1.0,PCS,GARLIC,10.0,GM,10.0,GRM,AD VEGETABLES
BANG BANG CAULIFLOWER Batter 1 potion,1.0,PCS,Natural Himalaya Pink Salt-500Gms Pouch,2.0,Pinch,1.0,GRM,FACTORY
BANG BANG CAULIFLOWER Batter 1 potion,1.0,PCS,CHEF SPECIAL OREGANO 100G,1.0,PincH,0.5,GRM,DMART
BANG BANG CAULIFLOWER Batter 1 potion,1.0,PCS,Big Bell Red CHILLI FLAKES 1kg,2.0,GM,2.0,GRM,SAI FOODS
BANG BANG CAULIFLOWER Batter 1 potion,1.0,PCS,Fresho bread crumb 1kg,50.0,GM,50.0,GRM,SAI FOODS
BANG BANG CAULIFLOWER Batter 1 potion,1.0,PCS,Organic Byadagi Chilly Powder-100Gms,0.25,TSP,1.0,GRM,FACTORY
BANG BANG CAULIFLOWER Sauce 151g yield,151.0,GRM,Veeba Eggless Mayo Professional MAYONNAISE 1kg,60.0,GM,60.0,GRM,SAI FOODS
BANG BANG CAULIFLOWER Sauce 151g yield,151.0,GRM,SRIRAJA Chilli Sauce 570g,60.0,GM,60.0,GRM,SAI FOODS
BANG BANG CAULIFLOWER Sauce 151g yield,151.0,GRM,kissan sauce dip pouch 930g,15.0,GM,15.0,GRM,SAI FOODS
BANG BANG CAULIFLOWER Sauce 151g yield,151.0,GRM,Big Bell Red CHILLI FLAKES 1kg,1.0,GM,1.0,GRM,SAI FOODS
BANG BANG CAULIFLOWER Sauce 151g yield,151.0,GRM,Organic Honey-250Gms,15.0,GM,15.0,GRM,FACTORY
basil oil 130g yield,130.0,GRM,BASIL,100.0,gm,100.0,GRM,AD VEGETABLES
basil oil 130g yield,130.0,GRM,Organic Extra Virgin Olive Oil-1ltr,150.0,gm,150.0,GRM,FACTORY
Beetroot Hummus  145g yield,145.0,GRM,BEETROOT,38.0,GM,38.0,GRM,AD VEGETABLES
Beetroot Hummus  145g yield,145.0,GRM,Organic Cumin Whole-100Gms,5.0,GM,5.0,GRM,FACTORY
Beetroot Hummus  145g yield,145.0,GRM,Organic Extra Virgin Olive Oil-1ltr,10.0,GM,10.0,GRM,FACTORY
Beetroot Hummus  145g yield,145.0,GRM,Classic Hummus 730 g yield,100.0,GRM,100.0,GRM,PRE PREP
BEETROOT YOGHURT 188g yield,188.0,GRM,milky mist Youghurt,100.0,GM,100.0,GRM,ONLINE
BEETROOT YOGHURT 188g yield,188.0,GRM,Veeba Eggless Mayo Professional MAYONNAISE 1kg,50.0,GM,50.0,GRM,SAI FOODS
BEETROOT YOGHURT 188g yield,188.0,GRM,BEETROOT,25.0,GM,25.0,GRM,AD VEGETABLES
BEETROOT YOGHURT 188g yield,188.0,GRM,LEMON,0.5,PC,0.5,PC,AD VEGETABLES
BEETROOT YOGHURT 188g yield,188.0,GRM,Organic Cumin Whole-100Gms,1.0,GM,1.0,GRM,FACTORY
BEETROOT YOGHURT 188g yield,188.0,GRM,BLACK SALT powder 1kg,1.0,GM,1.0,GRM,SAI FOODS
BEETROOT YOGHURT 188g yield,188.0,GRM,Organic Black Pepper Whole-100Gms,1.0,GM,1.0,GRM,FACTORY
boiled dal 1253g yield,1253.0,GRM,Organic Pancharatna Dal-500Gms,500.0,GM,500.0,GRM,FACTORY
boiled dal 1253g yield,1253.0,GRM,Organic Turmeric Powder-100Gms,1.0,tsp,3.0,GRM,FACTORY
BROCCOLI SOUP,1.0,GRM,BROCCOLI,230.0,GM,230.0,GRM,AD VEGETABLES
